Herbicide scenario	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
2	9	30	0	7	0	0	16	0	0	7	0	0	0	0	0	0	0	0	0
0	10	30	0	1	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0
1	10	30	0	1	0	0	25	0	0	4	0	0	0	0	0	0	0	0	0
2	10	30	0	4	0	0	16	0	0	10	0	0	0	0	0	0	0	0	0
0	11	30	0	0	0	0	13	0	0	10	0	0	7	0	0	0	0	0	0
1	11	30	0	4	0	0	21	0	0	5	0	0	0	0	0	0	0	0	0
2	11	30	0	1	0	0	8	0	0	11	0	0	10	0	0	0	0	0	0
0	12	30	0	7	0	0	18	0	0	5	0	0	0	0	0	0	0	0	0
1	12	30	0	0	0	0	16	0	0	13	0	0	1	0	0	0	0	0	0
2	12	30	0	2	0	0	21	0	0	6	0	0	1	0	0	0	0	0	0
0	13	30	0	12	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0
1	13	30	0	4	0	0	19	0	0	7	0	0	0	0	0	0	0	0	0
2	13	30	0	0	0	0	18	0	0	9	0	0	3	0	0	0	0	0	0
0	14	30	0	9	0	0	11	0	0	7	0	0	3	0	0	0	0	0	0
1	14	30	0	2	0	0	23	0	0	4	0	0	1	0	0	0	0	0	0
2	14	30	0	2	0	0	16	0	0	10	0	0	2	0	0	0	0	0	0
0	15	30	0	6	0	0	18	0	0	5	0	0	1	0	0	0	0	0	0
1	15	30	0	2	0	0	20	0	0	5	0	0	1	0	0	1	0	0	1
2	15	30	0	0	0	0	17	0	0	11	0	0	2	0	0	0	0	0	0
0	16	30	0	3	0	0	18	0	0	9	0	0	0	0	0	0	0	0	0
1	16	30	0	2	0	0	22	0	0	3	0	0	2	0	0	1	0	0	0
2	16	30	0	0	0	0	9	0	0	18	0	0	3	0	0	0	0	0	0
0	17	30	0	6	0	0	19	0	0	4	0	0	1	0	0	0	0	0	0
1	17	30	0	4	0	0	18	0	0	8	0	0	0	0	0	0	0	0	0
2	17	30	0	3	0	0	24	0	0	3	0	0	0	0	0	0	0	0	0
0	18	30	0	4	0	0	15	0	0	9	0	0	2	0	0	0	0	0	0
1	18	30	0	3	0	0	25	0	0	2	0	0	0	0	0	0	0	0	0
2	18	30	0	2	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
0	19	30	0	5	0	0	14	0	0	8	0	0	3	0	0	0	0	0	0
1	19	30	0	3	0	0	21	0	0	6	0	0	0	0	0	0	0	0	0
2	19	30	0	7	0	0	19	0	0	4	0	0	0	0	0	0	0	0	0
0	20	30	0	2	0	0	25	0	0	3	0	0	0	0	0	0	0	0	0
1	20	30	0	4	0	0	13	0	0	12	0	0	1	0	0	0	0	0	0
2	20	30	0	2	0	0	23	0	0	5	0	0	0	0	0	0	0	0	0
0	21	30	0	1	0	0	8	0	0	16	0	0	5	0	0	0	0	0	0
1	21	30	0	2	0	0	12	0	0	15	0	0	1	0	0	0	0	0	0
2	21	30	0	4	0	0	20	0	0	6	0	0	0	0	0	0	0	0	0
0	22	30	0	1	0	0	21	0	0	5	0	0	3	0	0	0	0	0	0
1	22	30	0	2	0	0	14	0	0	12	0	0	2	0	0	0	0	0	0
2	22	30	0	2	0	0	25	0	0	3	0	0	0	0	0	0	0	0	0
0	23	30	0	3	0	0	11	0	0	15	0	0	1	0	0	0	0	0	0
1	23	30	0	9	0	0	12	0	0	6	0	0	3	0	0	0	0	0	0
2	23	30	0	3	0	0	14	0	0	10	0	0	2	0	0	1	0	0	0
0	24	30	0	5	0	0	21	0	0	4	0	0	0	0	0	0	0	0	0
1	24	30	0	3	0	0	19	0	0	8	0	0	0	0	0	0	0	0	0
2	24	30	0	0	0	0	9	0	0	13	0	0	8	0	0	0	0	0	0
0	25	30	0	1	0	0	7	0	0	18	0	0	4	0	0	0	0	0	0
1	25	30	0	2	0	0	20	0	0	6	0	0	2	0	0	0	0	0	0
2	25	30	0	0	0	0	23	0	0	7	0	0	0	0	0	0	0	0	0
0	26	30	0	1	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0
1	26	30	0	2	0	0	11	0	0	12	0	0	5	0	0	0	0	0	0
2	26	30	0	1	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0
0	27	30	0	5	0	0	10	0	0	11	0	0	4	0	0	0	0	0	0
1	27	30	0	1	0	0	24	0	0	5	0	0	0	0	0	0	0	0	0
2	27	30	0	1	0	0	22	0	0	7	0	0	0	0	0	0	0	0	0
0	28	30	0	0	0	0	15	0	0	14	0	0	1	0	0	0	0	0	0
1	28	30	0	6	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0
2	28	30	0	1	0	0	13	0	0	16	0	0	0	0	0	0	0	0	0
0	29	30	0	4	0	0	20	0	0	6	0	0	0	0	0	0	0	0	0
1	29	30	0	3	0	0	15	0	0	12	0	0	0	0	0	0	0	0	0
2	29	30	0	5	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0
0	30	30	0	0	0	0	22	0	0	4	0	0	4	0	0	0	0	0	0
1	30	30	0	2	0	0	12	0	0	11	0	0	5	0	0	0	0	0	0
2	30	30	0	5	0	0	15	0	0	7	0	0	1	0	0	2	0	0	0
0	31	30	0	0	0	0	21	0	0	9	0	0	0	0	0	0	0	0	0
1	31	30	0	6	0	0	6	0	0	10	0	0	5	0	0	3	0	0	0
2	31	30	0	3	0	0	15	0	0	9	0	0	3	0	0	0	0	0	0
0	32	30	0	0	0	0	3	0	0	26	0	0	1	0	0	0	0	0	0
1	32	30	0	4	0	0	14	0	0	11	0	0	1	0	0	0	0	0	0
2	32	30	0	2	0	0	12	0	0	7	0	0	9	0	0	0	0	0	0
0	33	30	0	1	0	0	9	0	0	18	0	0	2	0	0	0	0	0	0
1	33	30	0	5	0	0	13	0	0	11	0	0	1	0	0	0	0	0	0
2	33	30	0	0	0	0	5	0	0	14	0	0	11	0	0	0	0	0	0
0	34	30	0	0	0	0	27	0	0	3	0	0	0	0	0	0	0	0	0
1	34	30	0	3	0	0	6	0	0	15	0	0	6	0	0	0	0	0	0
2	34	30	0	3	0	0	17	0	0	8	0	0	2	0	0	0	0	0	0
0	35	30	0	2	0	0	15	0	0	13	0	0	0	0	0	0	0	0	0
1	35	30	0	8	0	0	19	0	0	3	0	0	0	0	0	0	0	0	0
2	35	30	0	1	0	0	16	0	0	9	0	0	4	0	0	0	0	0	0
0	36	30	0	3	0	0	23	0	0	4	0	0	0	0	0	0	0	0	0
1	36	25	3	3	3	2	14	2	0	11	0	0	2	0	0	0	0	0	0
2	36	24	2	0	1	1	4	0	0	9	0	0	11	0	0	1	5	5	5
0	37	30	0	6	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0
1	37	25	3	1	3	2	4	2	0	19	0	0	2	0	0	4	0	0	0
2	37	22	3	0	2	1	3	1	0	13	0	0	9	0	0	0	5	5	5
0	38	30	0	5	0	0	21	0	0	4	0	0	0	0	0	0	0	0	0
1	38	25	3	0	4	2	8	1	0	18	0	0	2	0	0	2	0	0	0
2	38	14	6	0	10	1	4	1	0	0	0	0	10	0	0	6	5	5	10
0	39	30	0	13	0	0	14	0	0	3	0	0	0	0	0	0	0	0	0
1	39	25	3	1	4	2	3	1	0	3	0	0	20	0	0	3	0	0	0
2	39	23	2	0	1	0	0	1	0	11	0	0	14	0	0	0	5	5	5
0	40	30	0	5	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0
1	40	25	3	0	4	2	10	1	0	16	0	0	4	0	0	0	0	0	0
2	40	10	2	0	14	1	0	1	0	4	0	0	8	0	0	12	5	5	6
0	41	30	0	2	0	0	7	0	0	17	0	0	4	0	0	0	0	0	0
1	41	25	4	0	4	1	0	1	0	13	0	0	15	0	0	1	0	0	1
2	41	13	3	0	11	0	0	1	0	10	0	0	14	0	0	1	5	5	5
0	42	30	0	1	0	0	17	0	0	11	0	0	1	0	0	0	0	0	0
1	42	25	3	0	3	2	0	2	0	3	0	0	3	0	0	10	0	0	14
2	42	11	5	0	13	0	4	1	0	0	0	0	6	0	0	13	5	5	7
0	43	30	0	0	0	0	22	0	0	8	0	0	0	0	0	0	0	0	0
1	43	25	5	0	4	0	4	1	0	16	0	0	7	0	0	3	0	0	0
2	43	11	9	0	13	1	0	1	0	14	0	0	6	0	0	5	5	5	5
0	44	30	0	1	0	0	8	0	0	20	0	0	1	0	0	0	0	0	0
1	44	25	4	0	4	1	12	1	0	13	0	0	5	0	0	0	0	0	0
2	44	22	4	0	2	0	0	1	0	15	0	0	6	0	1	4	5	4	5
0	45	30	0	6	0	0	20	0	0	3	0	0	1	0	0	0	0	0	0
1	45	30	0	2	0	0	19	0	0	8	0	0	1	0	0	0	0	0	0
2	45	30	0	0	0	0	2	0	0	17	0	0	10	0	0	1	0	0	0
0	46	30	0	4	0	0	22	0	0	4	0	0	0	0	0	0	0	0	0
1	46	30	0	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
2	46	30	0	0	0	0	22	0	0	8	0	0	0	0	0	0	0	0	0
0	47	30	0	2	0	0	16	0	0	12	0	0	0	0	0	0	0	0	0
1	47	30	0	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
2	47	30	0	0	0	0	17	0	0	11	0	0	2	0	0	0	0	0	0
0	48	30	0	4	0	0	19	0	0	2	0	0	5	0	0	0	0	0	0
1	48	30	0	8	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0
2	48	30	0	0	0	0	9	0	0	18	0	0	3	0	0	0	0	0	0
0	49	30	0	1	0	0	10	0	0	14	0	0	4	0	0	1	0	0	0
1	49	30	0	4	0	0	17	0	0	9	0	0	0	0	0	0	0	0	0
2	49	30	0	0	0	0	2	0	0	19	0	0	8	0	0	1	0	0	0
0	50	30	0	0	0	0	14	0	0	15	0	0	1	0	0	0	0	0	0
1	50	30	0	7	0	0	18	0	0	4	0	0	1	0	0	0	0	0	0
2	50	30	0	0	0	0	0	0	0	20	0	0	7	0	0	3	0	0	0
